raw_column,standard_column,table_context,label
product_cost_v1,product_cost,products,1
supplier_id,product_color,products,0
supplier_i,supplier_id,products,1
CUSTOMER_SEGMENT,occupation,customers,0
PRODUCT_CATEGORY,product_color,products,0
order_total_field,order_status,orders,0
Merchant_Id,merchant_id,transactions,1
legacy_product_brand,product_category,products,0
client_label,customer_phone,customers,0
prfrrd_lngg,last_login_date,customers,0
merchant_id_raw,merchant_id,transactions,1
tax_amount,customer_id,orders,0
CstmrCty,customer_state,customers,0
old_product_color,product_sku,products,0
exchange_rate,transaction_type,transactions,0
GENDER,customer_city,customers,0
preferred_language_field,customer_state,customers,0
mplyddrss,hire_date,employees,0
clnt_label,customer_name,customers,1
gender,preferred_language,customers,0
customer_t,income_range,customers,0
gender,income_range,customers,0
orig_sale_source,order_source,orders,1
refund,transaction_id,transactions,0
loyalty_points,customer_city,customers,0
product.subcategory,product_id,products,0
transaction_datetime,transaction_date,transactions,1
payment_method,currency_code,transactions,0
employee-city,termination_date,employees,0
employee_address_field,manager_id,employees,0
transaction_notes,transaction_fee,transactions,0
TransactionNotesField,currency_code,transactions,0
shppng_stt,order_source,orders,0
shipping-zip,order_source,orders,0
taxamount,payment_method,orders,0
stff,employee_zip,employees,0
prdct_brnd,product_dimensions,products,0
CouponCode,shipping_state,orders,0
REORDER_LEVEL,product_dimensions,products,0
reorderlevel,product_color,products,0
date_of_bi,termination_date,employees,0
rdrd,delivery_date,orders,0
mrchnds_id,product_sku,products,0
purchase_d,order_notes,orders,0
transaction_amount,settlement_date,transactions,0
productid,product_id,products,1
transaction_type_v1,transaction_type,transactions,1
payment_val,refund_amount,transactions,0
CouponCode,payment_method,orders,0
sttlmnt_dt,currency_code,transactions,0
c_label,gender,customers,0
clnt_id,customer_id,orders,1
employee_e,termination_date,employees,0
employeedepartment,employee_name,employees,0
CUSTOMER_TYPE_LEGACY,customer_email,customers,0
p_sku,product_cost,products,0
registration_timestamp,date_of_birth,customers,0
OrderSource,order_date,orders,0
CustomerAddress,customer_country,customers,0
ProductCategory,date_added,products,0
prod_desc,product_description,products,1
legacy_customer_country,gender,customers,0
trmnl_id,authorization_code,transactions,0
rdr_nts,coupon_code,orders,0
TRANSACTION_NOTES,settlement_date,transactions,0
shipping_zip_field,order_status,orders,0
performanc,performance_rating,employees,1
EMPLOYEE_STATUS_old,employee_name,employees,0
ShippingCost,order_source,orders,0
rdr_nts,shipping_address,orders,0
order_total_new,shipping_cost,orders,0
registration_timestamp,registration_date,customers,1
CUSTOMER_SEGMENT,customer_zip,customers,0
CUSTOMER_EMAIL,preferred_language,customers,0
refund_amount,refund_amount,transactions,1
old_product_sku,product_name,products,0
shippingaddress_field,order_priority,orders,0
col_order_id,payment_method,orders,0
dt_of_birth,registration_date,customers,0
stock_qty,product_category,products,0
clnt_ph,customer_type,customers,0
employee_address,employee_position,employees,0
terminal_id,payment_processor,transactions,0
transactio,transaction_date,transactions,0
gndr,customer_type,customers,0
col_manager.id,employee_status,employees,0
order_source,payment_method,orders,0
col_customer_id,shipping_cost,orders,0
pymnt_mthd,transaction_notes,transactions,0
Employee_Position,termination_date,employees,0
Couponcode,shipping_zip,orders,0
productsku,product_sku,products,1
reorderlevel,supplier_id,products,0
col_col_customer_zip,customer_address,customers,0
temp_cstmrnm,last_login_date,customers,0
personnel_electronic_mail,emergency_contact,employees,0
itm_state,product_name,products,0
last_login,last_login_date,customers,1
dscnt_mnt,shipping_state,orders,0
order_sour_src,coupon_code,orders,0
merchandise_sku,product_description,products,0
EmployeeDepartment,employee_department,employees,1
emp,employee_email,employees,0
shppng_stt,shipping_state,orders,1
transaction,exchange_rate,transactions,0
cust_label,customer_status,customers,0
product_id,reorder_level,products,0
orig_order_id_new,order_id,orders,1
customer-type,registration_date,customers,0
cpncd,order_status,orders,0
sr_stt,customer_status,customers,1
order.status,shipping_state,orders,0
last_login_date,customer_name,customers,0
rdr_nts,order_notes,orders,1
employee-address,employee_email,employees,0
rdr-id,order_id,orders,1
col_clnt_ph_v1,registration_date,customers,0
mply_stt_temp,employee_id,employees,0
transaction_notes,terminal_id,transactions,0
p_size,product_description,products,0
col_sku_name,product_subcategory,products,0
payment_method,shipping_zip,orders,0
old_order_priority,order_priority,orders,1
raw_src_date.of.birth,employee_phone,employees,0
payment_method,transaction_date,transactions,0
c_telephone,last_login_date,customers,0
preferred_language,customer_id,customers,0
personnel,employee_state,employees,1
shipping_c,actual_delivery,orders,0
actual_delivery,actual_delivery,orders,1
trnsctn_nts,transaction_notes,transactions,1
refund_date,order_id,transactions,0
COUPON_CODE_OLD,estimated_delivery,orders,0
transaction_date,refund_date,transactions,0
dt_of_brth,customer_id,customers,0
Refund_Date,transaction_date,transactions,0
pmt_stat,transaction_id,transactions,0
prdct_clr,product_color,products,1
prod_info,product_status,products,0
prdct_si,product_cost,products,0
ccptn,customer_phone,customers,0
customer.state,income_range,customers,0
settlement_time,transaction_id,transactions,0
PAYMENT_PROCESSOR,payment_processor,transactions,1
prdct_clr,product_sku,products,0
ORDER_SOURCE,estimated_delivery,orders,0
p_cost,product_status,products,0
CustomerEmail,customer_address,customers,0
product,product_cost,products,0
customer_id,transaction_fee,transactions,0
ORDER_ID,shipping_cost,orders,0
Customer_Name_raw,customer_name,customers,1
pymnt_mthd,exchange_rate,transactions,0
e_stt,employee_status,employees,1
gndr,gender,customers,1
refund_ts,transaction_status,transactions,0
cust_country,occupation,customers,0
HrDt,employee_department,employees,0
EmployeeId,employee_salary,employees,0
ORDER_ID,customer_id,transactions,0
clnt_segment,customer_zip,customers,0
terminal_id,card_last_four,transactions,0
delivery_date_legacy,shipping_city,orders,0
cstmrcntry,customer_type,customers,0
product_sku,supplier_id,products,0
prdct_dmnsns,reorder_level,products,0
performance_rating,employee_status,employees,0
hiredate,emergency_phone,employees,0
hr_dt,employee_city,employees,0
employee.id,employee_id,employees,1
shipping_zip,order_id,orders,0
PRODUCT_NAME,product_color,products,0
rdr_id,transaction_fee,transactions,0
shppng_cty,shipping_zip,orders,0
termination_time,date_of_birth,employees,0
mrgncy_cntct,employee_position,employees,0
member_id,customer_id,orders,1
staff_state,employee_position,employees,0
payment_method,transaction_status,transactions,0
shipping_city,shipping_zip,orders,0
time_of_birth,years_of_service,employees,0
employeesalary,emergency_phone,employees,0
article_weight_old,product_subcategory,products,0
mply_Zip,date_of_birth,employees,0
prod_subcategory,product_size,products,0
prdct_brcd,product_cost,products,0
order_date_temp,estimated_delivery,orders,0
income_range,registration_date,customers,0
col_order_status_raw,order_status,orders,1
cstmr_typ,preferred_language,customers,0
mplyphn,emergency_contact,employees,0
product_dimensions,product_dimensions,products,1
teammembercity_new,employee_department,employees,0
Refund_Date,transaction_notes,transactions,0
src_product_dimensions_legacy,product_category,products,0
supplier_id,product_barcode,products,0
stf,employee_status,employees,0
col_reservation_notes,order_status,orders,0
occupation,last_login_date,customers,0
CUSTOMER_TYPE,customer_status,customers,0
temp_transaction_fee_v2,transaction_fee,transactions,1
ProductId,product_color,products,0
CUSTOMER_TYPE,income_range,customers,0
reservation_amount,order_date,orders,0
Preferred_Language,last_login_date,customers,0
payment_fee,currency_code,transactions,0
origemergencycontact,employee_phone,employees,0
supplier_id,supplier_id,products,1
employeestate,date_of_birth,employees,0
order_total_field,order_date,orders,0
last_login_date_field,customer_id,customers,0
Registrationdate,preferred_language,customers,0
article_brand,product_brand,products,1
income_range,customer_country,customers,0
INCOME_RANGE,preferred_language,customers,0
employee_email,employee_department,employees,0
termination_date,termination_date,employees,1
stf_zip,emergency_phone,employees,0
col_pmt_type_field,transaction_type,transactions,1
old_order_id,order_priority,orders,0
reorder_level,reorder_level,products,1
orig_settlement_date,settlement_date,transactions,1
merchant_id,merchant_id,transactions,1
ProductSubcategory,product_subcategory,products,1
CustomerName,customer_segment,customers,0
saletotal,order_total,orders,1
shipping_city,order_date,orders,0
time_of_birth,loyalty_points,customers,0
Employee_Status,employee_phone,employees,0
item_label_old_v2,product_brand,products,0
legacy_order_notes,order_status,orders,0
lylty_pnts,loyalty_points,customers,1
product_color,product_color,products,1
prfrrd_lngg,customer_email,customers,0
sale_condition,discount_amount,orders,0
PRDCTBRND,product_status,products,0
employee_salary,employee_email,employees,0
emergency_telephone,employee_email,employees,0
CUSTOMER_ADDRESS,customer_name,customers,0
employee.email,employee_status,employees,0
customerid,registration_date,customers,0
temp_settlement_date,terminal_id,transactions,0
reorder_level,date_added,products,0
ExchangeRate,currency_code,transactions,0
cstmrid,customer_id,customers,1
item_size_v1_field,product_barcode,products,0
ord_id,transaction_fee,transactions,0
REFUND_AMOUNT,payment_processor,transactions,0
order_stat,order_total,orders,0
shipping_city_temp,order_id,orders,0
Trnsctnd,order_id,transactions,0
old_orderstatus,shipping_address,orders,0
ShippingCost,tax_amount,orders,0
dt_ddd,product_subcategory,products,0
IncomeRange,customer_type,customers,0
order_priority,customer_id,orders,0
performance_rating_field,employee_phone,employees,0
account_state,customer_state,customers,1
timestampofbirth,employee_department,employees,0
loyalty,last_login_date,customers,0
client_zip,customer_address,customers,0
prdct,product_color,products,0
SHIPPING_COST,order_notes,orders,0
order_prio,coupon_code,orders,0
manager_id,manager_id,employees,1
refund.date,refund_date,transactions,1
order-status,shipping_address,orders,0
sttlmnt_dt,settlement_date,transactions,1
goods_category,product_barcode,products,0
customeraddress,customer_id,customers,0
supplier.id,product_category,products,0
preferredlanguage,income_range,customers,0
ordtimelegacy,order_status,orders,0
cstmr_id,actual_delivery,orders,0
shippingaddress,shipping_address,orders,1
emergency_mobile,employee_department,employees,0
customer-email,customer_segment,customers,0
customer-type,income_range,customers,0
Gender,occupation,customers,0
TerminationDate,termination_date,employees,1
product_category,product_status,products,0
PreferredLanguage,customer_state,customers,0
orig_custo,customer_name,customers,0
shppng_stt,shipping_cost,orders,0
EMPLOYEE_SALARY,employee_position,employees,0
taxamount,shipping_state,orders,0
emergency_telephone,date_of_birth,employees,0
product_name_field,product_name,products,1
exchangerate,refund_date,transactions,0
customer_i,order_source,orders,0
exchange_rate_orig,terminal_id,transactions,0
cstmr_segment,customer_segment,customers,1
product-dimensions,product_weight,products,0
transaction_fee,transaction_fee,transactions,1
old_shppng_ddrss,customer_id,orders,0
prfrrd_lngg,preferred_language,customers,1
prfrmnc_rtng,employee_name,employees,0
refund_amount,card_last_four,transactions,0
yearsofservice,years_of_service,employees,1
trnsctn_mnt,authorization_code,transactions,0
item_dimensions,product_name,products,0
mplyml,employee_id,employees,0
shipping_city,order_id,orders,0
trnsctn_fee,payment_processor,transactions,0
trmntn_tm,employee_position,employees,0
Emergencyphone,date_of_birth,employees,0
customeremail,customer_segment,customers,0
ORDER_ID,refund_amount,transactions,0
cstmr_zip,customer_zip,customers,1
actual,shipping_cost,orders,0
thrztn_cd,authorization_code,transactions,1
PRODUCT_COLOR_temp,product_color,products,1
worker_position,employee_position,employees,1
settlement_dt,refund_date,transactions,0
RegistrationDate,customer_email,customers,0
Gender,registration_date,customers,0
transaction.fee,exchange_rate,transactions,0
o_id,order_id,transactions,1
emp_addr,performance_rating,employees,0
termination_date,emergency_phone,employees,0
order-id,coupon_code,orders,0
item_id,product_description,products,0
CURRENCY_CODE,order_id,transactions,0
TERMINAL_ID,exchange_rate,transactions,0
card.last.four,terminal_id,transactions,0
stockquantity,product_cost,products,0
itm_wght,product_weight,products,1
Emergency_Phone,manager_id,employees,0
customer.id,customer_type,customers,0
employee.email,employee_email,employees,1
employee_status_raw,employee_address,employees,0
prdct_cst,product_id,products,0
ccptn,registration_date,customers,0
performance_rating_src,termination_date,employees,0
ORDER_TOTAL,shipping_address,orders,0
legacy_customer_name_temp,customer_name,customers,1
exchange_rate_src,order_id,transactions,0
DeliveryDate,shipping_address,orders,0
prdct_brcd,product_status,products,0
Shipping_Zip,tax_amount,orders,0
order.status,order_total,orders,0
PaymentMethod,order_priority,orders,0
col_product-color,product_id,products,0
shipping,shipping_state,orders,1
cardlastfour,transaction_status,transactions,0
last_login_timestamp,last_login_date,customers,1
ManagerId,employee_address,employees,0
CSTMR_ID,refund_amount,transactions,0
old_card_last_four,card_last_four,transactions,1
clnt_id,coupon_code,orders,0
registration_date,registration_date,customers,1
raw_shipping_state,shipping_zip,orders,0
new_customer_id,currency_code,transactions,0
exchange_rate,transaction_notes,transactions,0
Raw_Product_Size,product_size,products,1
performance-rating,hire_date,employees,0
transaction_id,transaction_id,transactions,0
payment_method,transaction_type,transactions,0
LASTUPDATED,supplier_id,products,0
product,product_sku,products,0
purchaser_type,income_range,customers,0
refund_date,transaction_id,transactions,0
src_card_last_four,refund_date,transactions,0
exchange_rate,exchange_rate,transactions,1
prod_sku,product_dimensions,products,0
transaction_notes,currency_code,transactions,0
currency_code,transaction_type,transactions,0
shipping,coupon_code,orders,0
mply_id_field,emergency_phone,employees,0
payment_method,payment_method,orders,1
hire_date,employee_city,employees,0
emergency_contact,emergency_contact,employees,1
CouponCode,order_priority,orders,0
employee_z,employee_zip,employees,1
Termination-Date,termination_date,employees,1
Discount_Amount_V1,coupon_code,orders,0
ShippingState,delivery_date,orders,0
emp_mobile,termination_date,employees,0
shipping_zip,shipping_zip,orders,1
transactionamount,transaction_amount,transactions,1
Productcategory,product_status,products,0
gender,customer_segment,customers,0
loyaltypoints,customer_city,customers,0
col_refund_amt,transaction_amount,transactions,0
client_segment,occupation,customers,0
PRODUCT_COST,product_sku,products,0
purchase-id,transaction_date,transactions,0
tax_val,shipping_city,orders,0
raw_date_of_birth_raw,performance_rating,employees,0
lylty_pnts,loyalty_points,customers,1
years_of_service_temp,years_of_service,employees,1
trnsctn_mnt,transaction_id,transactions,0
rdr_nts,payment_method,orders,0
user,customer_address,customers,1
t-fee,transaction_status,transactions,0
productprice,last_updated,products,0
itm_cost,product_description,products,0
emp_salary,employee_position,employees,0
item_subcategory,date_added,products,0
refund_time_src,refund_date,transactions,1
src_card_last_four,card_last_four,transactions,1
product,product_barcode,products,0
trmntn_dt,employee_id,employees,0
SHIPPING_ZIP,estimated_delivery,orders,0
cstmr_nm,customer_zip,customers,0
temp_Customer_Type,customer_city,customers,0
col_last_updated,stock_quantity,products,0
customer_type,customer_type,customers,1
refund.amount,exchange_rate,transactions,0
last,last_updated,products,1
merchant_id,transaction_fee,transactions,0
col_payment_method,exchange_rate,transactions,0
transaction_notes_field,transaction_notes,transactions,1
TRANSACTION_NOTES,refund_date,transactions,0
col_transaction_amount,transaction_amount,transactions,1
mply_id,employee_department,employees,0
lylty_pnts,date_of_birth,customers,0
EMPLOYEE_CITY,hire_date,employees,0
purchaser_electronic_mail,customer_state,customers,0
team_member_condition,employee_status,employees,1
tm_mmbr_dprtmnt,employee_department,employees,1
transactio,refund_amount,transactions,0
rdr_id,settlement_date,transactions,0
EMPLOYEE_ADDRESS_FIELD_field,employee_position,employees,0
productcategory,product_category,products,1
C_ID,customer_name,customers,0
team_member_position,employee_salary,employees,0
shppngzip,customer_id,orders,0
customer_status,customer_phone,customers,0
date.of.birth,date_of_birth,customers,1
income_range_orig,customer_state,customers,0
delivery_d,coupon_code,orders,0
income_range_v1,income_range,customers,1
authorizationcode,transaction_fee,transactions,0
EmployeeEmail,employee_position,employees,0
PaymentMethod,refund_date,transactions,0
c_id,customer_id,transactions,1
productdimensions,product_dimensions,products,1
SHIPPING_ADDRESS,customer_id,orders,0
employee_address,termination_date,employees,0
mply,employee_position,employees,0
actual_delivery,order_total,orders,0
mply_ddrss,date_of_birth,employees,0
src_transaction.id,settlement_date,transactions,0
ORDER_NOTES,tax_amount,orders,0
time_added_new,date_added,products,1
manager-id,manager_id,employees,1
old_product_sku,product_weight,products,0
item_id_orig,product_subcategory,products,0
col_customer_segment,customer_segment,customers,1
transaction_type,settlement_date,transactions,0
EmployeeId,years_of_service,employees,0
new.EmployeeAddress,employee_state,employees,0
ProdTitle_raw,product_name,products,1
performance_rating,date_of_birth,employees,0
customer_address,registration_date,customers,0
sale_timestamp,order_source,orders,0
ORIG_CUSTOMER_ZIP,customer_address,customers,0
manager.id,manager_id,employees,1
client_id,currency_code,transactions,0
customeremail,preferred_language,customers,0
SettlementDate,refund_date,transactions,0
cstmr_id,customer_id,orders,1
p_dimensions,product_dimensions,products,1
MplyZip_field,manager_id,employees,0
Customer_Address,customer_status,customers,0
Order_Id_Orig,transaction_type,transactions,0
COL_PRODUCT_DESCRIPTION,product_description,products,1
cust_mob_field,customer_phone,customers,1
employee_id_src,employee_zip,employees,0
product,last_updated,products,0
CustomerSegment,income_range,customers,0
lastlogindate,date_of_birth,customers,0
emergency_contact,employee_zip,employees,0
o_source_temp,order_status,orders,0
employee.city,employee_salary,employees,0
cstmr_sgmnt,registration_date,customers,0
productsubcategoryv2,product_subcategory,products,1
shppng_stt,delivery_date,orders,0
ord_nts,order_notes,orders,1
ProductSubcategory,product_subcategory,products,1
customer_type,date_of_birth,customers,0
ColProductColor,product_color,products,1
orderdate,shipping_cost,orders,0
Years_Of_Service,emergency_contact,employees,0
tax_mnt,tax_amount,orders,1
EMPLOYEEEMAIL,employee_city,employees,0
loyalty_points_legacy,customer_city,customers,0
sttlmnt_dt,payment_processor,transactions,0
mply_ml,hire_date,employees,0
OrderId,exchange_rate,transactions,0
last_login_timestamp,last_login_date,customers,1
PRODUCT_COST,product_weight,products,0
product_pr,product_cost,products,0
DatetimeOfBirth,emergency_contact,employees,0
CUSTOMER_ID,shipping_zip,orders,0
DiscountAmount,coupon_code,orders,0
orig_discount_amount,discount_amount,orders,1
txn_fee_temp,refund_amount,transactions,0
time_of_birth,employee_state,employees,0
raw_supplier_id,supplier_id,products,1
product,product_size,products,1
INCOME_RANGE,customer_country,customers,0
merchant_id,authorization_code,transactions,0
mply_pstn,employee_zip,employees,0
employeeposition,employee_position,employees,1
loyalty_points,customer_state,customers,0
tax_amount_src,order_date,orders,0
card.last.four,card_last_four,transactions,1
productweight,date_added,products,0
DtOfBrth,loyalty_points,customers,0
Occupation,customer_country,customers,0
stck_qntty,date_added,products,0
col_product_name,product_color,products,0
TERMINAL_ID,terminal_id,transactions,1
CustomerName,customer_name,customers,1
txn_type,transaction_type,transactions,1
product-cost,product_cost,products,1
pymnt_prcssr,customer_id,transactions,0
Registrationdate,loyalty_points,customers,0
Shipping_Zip,delivery_date,orders,0
new_product_color,product_color,products,1
payment_method_v2,currency_code,transactions,0
t_sts,transaction_status,transactions,1
authorization_code_legacy,transaction_fee,transactions,0
refund_datetime,transaction_date,transactions,0
p_prc,product_dimensions,products,0
col_customer_city,customer_address,customers,0
itm_id,product_id,products,1
item_size,product_color,products,0
transactionstatus,transaction_status,transactions,1
COLTRANSACTIONID,transaction_type,transactions,0
stock_cnt,stock_quantity,products,1
Temp_Employeeaddress,employee_email,employees,0
ord_priority,shipping_zip,orders,0
customer_id_field,payment_processor,transactions,0
stock_count,reorder_level,products,0
refundamount,refund_amount,transactions,1
last_updated_new_v1,product_name,products,0
col_payment_fee,refund_amount,transactions,0
prdct,product_size,products,0
stock_count,product_status,products,0
item_subcategory,product_dimensions,products,0
transactio,merchant_id,transactions,0
customername,customer_zip,customers,0
p,product_category,products,0
customer_state,last_login_date,customers,0
supplier_id_new,product_category,products,0
o_total,discount_amount,orders,0
trnsctn_fee,transaction_fee,transactions,1
trnsctnmnt,settlement_date,transactions,0
product_description,product_price,products,0
dateofbirth_src,preferred_language,customers,0
order.notes-v2,discount_amount,orders,0
PRODUCT_COLOR,supplier_id,products,0
legacy_customer_state,customer_zip,customers,0
new_emergency_phone,employee_status,employees,0
transaction_status,payment_processor,transactions,0
PRODUCT_PRICE,product_price,products,1
src_custom,customer_email,customers,0
item_brand,product_status,products,0
purchase,order_date,orders,0
authorization_code,order_id,transactions,0
personnel_city,employee_city,employees,1
prdct_sz,date_added,products,0
lgcy_trnsctn_nts,transaction_id,transactions,0
employee-phone,employee_phone,employees,1
dateofbirth,date_of_birth,employees,1
prod_prc,product_dimensions,products,0
merchantid,transaction_type,transactions,0
CUSTOMER_CITY,customer_city,customers,1
orig_reorder_level,product_subcategory,products,0
col_Employee_Position,hire_date,employees,0
t_type,customer_id,transactions,0
Prrty,customer_id,orders,0
shipping_state,order_notes,orders,0
STOCK_QUANTITY,stock_quantity,products,1
termination_ts,employee_state,employees,0
datetime_added,product_weight,products,0
rrdr_lvl_field,stock_quantity,products,0
employee.zip,performance_rating,employees,0
PRODUCT_SKU,product_category,products,0
raw_product_status,product_status,products,1
employee.position,employee_id,employees,0
employee-position,emergency_phone,employees,0
pstatv1,reorder_level,products,0
lylty_pnts,customer_status,customers,0
dt_ddd,product_subcategory,products,0
performance_rating,employee_id,employees,0
years_of_service,employee_status,employees,0
currency_code,currency_code,transactions,1
team_member_position,employee_email,employees,0
cust_mobile,customer_status,customers,0
staff_telephone_src,employee_id,employees,0
last-updated,product_id,products,0
trnsctn_mnt,transaction_fee,transactions,0
dt_of_brth,registration_date,customers,0
transaction.amount,card_last_four,transactions,0
shipping_cost,order_source,orders,0
ord_id,merchant_id,transactions,0
emergency.phone,emergency_contact,employees,0
buyer_street_address,customer_address,customers,1
payment-method,currency_code,transactions,0
product_weight_old,product_weight,products,1
product-color,product_dimensions,products,0
refund_amount_field,order_id,transactions,0
customerstate,customer_type,customers,0
col_employee_address,manager_id,employees,0
employeenameraw,performance_rating,employees,0
raw_termination_date_new,termination_date,employees,1
refund.time,transaction_status,transactions,0
sku_sbctgry,product_id,products,0
TRANSACTION_NOTES,refund_date,transactions,0
HireDate,hire_date,employees,1
customer.country,customer_state,customers,0
prdct_cst,product_cost,products,1
ts,employee_state,employees,0
gender,customer_name,customers,0
actual_delivery,actual_delivery,orders,1
loyalty_points,customer_email,customers,0
loyalty_points,customer_segment,customers,0
employee,employee_position,employees,1
years_of_service,employee_id,employees,0
customercity,preferred_language,customers,0
refund_date_field,terminal_id,transactions,0
prdct_brcd,product_size,products,0
old_product_size,stock_quantity,products,0
order-status-src,discount_amount,orders,0
shipping_cost,order_id,orders,0
ORDER_NOTES,customer_id,orders,0
cstmr_id,income_range,customers,0
delivery.date,customer_id,orders,0
ORDER_NOTES,order_notes,orders,1
CustomerId,customer_id,customers,1
customer_type_new,customer_segment,customers,0
lst_pdtd,product_color,products,0
product-description_temp,product_sku,products,0
EstimatedDelivery,order_total,orders,0
transaction_type,transaction_fee,transactions,0
thrztncd,settlement_date,transactions,0
hire_date,employee_city,employees,0
ord,discount_amount,orders,0
lgcy_stck_qntty,product_price,products,0
stock_cnt,product_price,products,0
CUSTOMER_STATE,customer_phone,customers,0
transaction_state_v2,currency_code,transactions,0
trmnld,terminal_id,transactions,1
timestamp_of_birth_v2,date_of_birth,customers,1
ShippingAddress,shipping_address,orders,1
prdct_sbctgry,product_subcategory,products,1
prdct_brnd,product_category,products,0
legacy_exchange_rate,transaction_amount,transactions,0
product_price,product_price,products,1
employee_phone_raw,years_of_service,employees,0
sku_size_new,product_size,products,1
Spplrd,supplier_id,products,1
staff_contact_number,termination_date,employees,0
dtfbrth,date_of_birth,customers,1
refund.date,terminal_id,transactions,0
refund_time,merchant_id,transactions,0
LOYALTY_POINTS_FIELD_SRC,income_range,customers,0
PRODUCT_WEIGHT,product_dimensions,products,0
sale_source,order_source,orders,1
product_category,product_category,products,1
itm_label,product_dimensions,products,0
Sttlmnt_Dt_Field,refund_amount,transactions,0
tax_amount_field,tax_amount,orders,1
dt-of-brth,customer_segment,customers,0
trnsctn_dt,order_id,transactions,0
shippingstate,shipping_cost,orders,0
customer.zip,registration_date,customers,0
col_coupon_code,discount_amount,orders,0
col_Settlement_Date,settlement_date,transactions,1
member_state,customer_email,customers,0
PRODUCT_WEIGHT,product_size,products,0
customername,customer_name,customers,1
customersegment,customer_segment,customers,1
col_order_status,order_source,orders,0
Terminal_Id,transaction_type,transactions,0
performance_rating_v1,performance_rating,employees,1
employee_state_field,date_of_birth,employees,0
Customer_Status,preferred_language,customers,0
rrdr_le,date_added,products,0
employee_address,emergency_contact,employees,0
productcategory,product_category,products,1
